MAPID,LATITUDE,LONGITUDE,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
DFPB0001,49.234947000370603,-123.027254000176000,Fountain location:Aberdeen Park,plaza,Parks,spring to fall,,Aberdeen Park - drinking fountain - 2005.JPG
DFPB0002,49.275858000301199,-123.024141000377990,Fountain location:Adanac Park,SW side of Field house,Parks,spring to fall,,
DFPB0003,49.285554000393397,-123.142392000364000,Fountain location:Alexandra Park,west plaza gateway,Parks,spring to fall,,Alexandra Park - drinking fountain - 2003.jpg
DFPB0004,49.260979999649699,-123.184758999439000,Fountain location:Almond Park,S-side of playground,Parks,spring to fall,,
DFPB0005,49.278810999741999,-123.106193999620000,Fountain location:Andy Livingstone Park - North of basketball court,by amphitheatre steps near bas,Parks,spring to fall,,
DFPB0006,49.277950999834097,-123.103574999947000,Fountain location:Andy Livingstone Park - South of soccer fields,north side of fieldhouse,Parks,spring to fall,,
DFPB0007,49.262128000212897,-123.155318000164000,Fountain location:Arbutus Greenway Park,S-side of playground,Parks,spring to fall,,Arbutus Greenway Park - drinking fountain - 2005.JPG
DFPB0008,49.248678999762198,-123.157990999602010,Fountain location:Arbutus Village Park,S-side of playground,Parks,spring to fall,,
DFPB0009,49.285918999908901,-123.120938999868000,Fountain location:Art Phillips Park (Discovery Square),NW plaza,Parks,spring to fall,,Discovery Square - drinking fountain - 2005.JPG
DFPB0010,49.245614000377799,-123.175341999650000,Fountain location:Balaclava Park,W of wading pool,Parks,spring to fall,,
DFPB0011,49.255191000153999,-123.050070999590010,Fountain location:Beaconsfield Park,adjacent to field house,Parks,spring to fall,,Beaconsfield Park - drinking fountain - 2005.JPG
DFPB0012,49.215521000189298,-123.056107000194000,Fountain location:Bobolink Park,in front of wading pool,Parks,spring to fall,,
DFPB0132,49.247450000228199,-123.066225999973000,Fountain location:Brewers Park,S-side of wading pool,Parks,spring to fall,,
DFPB0013,49.290415000167599,-123.050482999905000,Fountain location:Burrard View Park,N-side of wading pool,Parks,spring to fall,,
DFPB0030,49.284653700186297,-123.101820999994000,Fountain location:CRAB Park at Portside,,Parks,,,
DFPB0014,49.256926000144297,-123.172514000221990,Fountain location:Carnarvon Park,S-side of wading pool,Parks,spring to fall,,
DFPB0016,49.249585000056399,-123.191687999809010,Fountain location:Chaldecott Park,W-side of spray park,Parks,spring to fall,,
DFPB0017,49.268011999984999,-123.125901000518990,Fountain location:Charleson Park,N of school off of seawall,Parks,spring to fall,,
DFPB0018,49.264372000355998,-123.083133999842000,Fountain location:China Creek North Park,S central side along jogging c,Parks,spring to fall,,
DFPB0019,49.261644000105100,-123.079061000581010,Fountain location:China Creek South Park,S-side of skate park,Parks,spring to fall,,
DFPB0020,49.256746000057603,-123.073106999834000,Fountain location:Clark Park,,Parks,,,
DFPB0021,49.270699000425203,-123.050136999676000,Fountain location:Clinton Park - East side of wading pool,E-side of wading pool,Parks,spring to fall,,Clinton Park - drinking fountain - 2005.JPG
DFPB0022,49.271281000401601,-123.051686000138010,Fountain location:Clinton Park - North side of ball diamond,N-side of B-ball diamond,Parks,spring to fall,,
DFPB0023,49.289871000327501,-123.125384999888000,Fountain location:Coal Harbour Park,near playground,Parks,spring to fall,,
DFPB0024,49.236945999599101,-123.036379999852000,Fountain location:Collingwood Park,in front of wading pool,Parks,spring to fall,,
DFPB0025,49.231825000108302,-123.113005000161000,Fountain location:Columbia Park,in front of wading pool,Parks,spring to fall,,Columbia Park - drinking fountain - 2005.JPG
DFPB0027,49.262869000164599,-123.159336000257990,Fountain location:Connaught Park - East side of fieldhouse,near fieldhouse,Parks,year-round,,Connaught Park - drinking fountain - 2005.JPG
DFPB0026,49.261767600085697,-123.161430000024000,Fountain location:Connaught Park - North of playground,,Parks,,,
DFPB0028,49.273808599874698,-123.113056999841010,Fountain location:Coopers' Park,,Parks,,,
DFPB0029,49.272798000140902,-123.114648999735000,"Fountain location:Coopers' Park - underneath bridge, near basket","underneath bridge, near basket",Parks,spring to fall,,Coopers Park - drinking fountain - 2005.JPG
DFPB0031,49.275124800071900,-123.103110999337010,Fountain location:Creekside Park,,Parks,,,
DFPB0032,49.271632000237403,-123.125720000150000,Fountain location:David Lam Park - South west of basketball courts,near playground and tennis court,Parks,spring to fall,,
DFPB0033,49.272394000267298,-123.123289000392010,Fountain location:David Lam Park - South west of playgrounds,"E area, near playground",Parks,spring to fall,,
DFPB0034,49.294985000417100,-123.136001000590990,Fountain location:Devonian Harbour Park,near Stanley Park entrance,Parks,year-round,,
DFPB0036,49.251935999979402,-123.122501999554000,Fountain location:Douglas Park (community centre),exterior of building,Parks,spring to fall,,Douglas Park - drinking fountain 2 - 2005.JPG
DFPB0035,49.253088999620601,-123.122316999446990,Fountain location:Douglas Park - Right side of wading pool,in front of wading pool,Parks,spring to fall,,Douglas Park - drinking fountain 1 - 2005.JPG
DFPB0037,49.205406000277897,-123.132849000544990,Fountain location:Ebisu Park,near playground,Parks,spring to fall,,Ebisu Park - drinking fountain - 2008.JPG
DFPB0038,49.233483999669602,-123.163401000037990,Fountain location:Elm Park,N-side of field house,Parks,spring to fall,,
DFPB0039,49.276991000256302,-123.123796000585000,Fountain location:Emery Barnes Park - Dog off-leash area,,Parks,,,
DFPB0040,49.276535899615702,-123.124281999350000,Fountain location:Emery Barnes Park - South west of playground,,Parks,,,
DFPB0041,49.287418999892203,-123.142573000586000,Fountain location:English Bay Beach Park - Davie st entrance,Davie st entrance,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg
DFPB0042,49.286027000026500,-123.143034999349000,Fountain location:English Bay Beach Park - West of bath-house,opposite entrance to bathhouse,Parks,year-round,,English Bay Park - drinking fountain - 2005.jpg
